case_id,reported_date,case_type,subject_ar,case_summary_ar,handling_unit,case_status
CASE-00001,2022-11-20,تسريب معلومات,تحقيق في تسريب مسودة مذكرة تفاهم مع شريك خارجي,تسريب مسودة مذكرة تفاهم قبل توقيعها رسميًا. المرجع CASE-2022-9808 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد المراجعة القانونية
CASE-00002,2019-08-05,إساءة استخدام صلاحيات,تحقيق في تواطؤ محتمل بين موردي قطاع الأعمال المؤسسية,تحقيق في مؤشرات تنسيق أسعار بين موردين في منافسة مغلقة. المرجع CASE-2019-7935 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,منتهي بتوصيات
CASE-00003,2026-02-11,بلاغ مبلّغ,تحقيق في احتيال مالي بقيمة تقديرية 14 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2026-2322 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,قيد التحقيق
CASE-00004,2021-12-10,مخالفة مشتريات,شكوى بيئة عمل في الخدمات المساندة,شكوى موظف تتضمن بيانات شخصية وتفاصيل تواصل داخلية. المرجع CASE-2021-6270 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,مغلق
CASE-00005,2022-05-21,إساءة استخدام صلاحيات,قضية تعارض مصالح في ترسية برنامج الاستحواذ التقني,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2022-5380 · الجهة المعنية: مكتب حماية المبلّغين.,,محال للجهة المختصة
CASE-00006,2020-04-23,مخالفة سلوك مهني,ملف مراجعة خاصة رقم SR-2020-689,مراجعة خاصة بتوجيه من اللجنة مع حظر التداول حتى صدور النتيجة. المرجع CASE-2020-6917 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,قيد المراجعة القانونية
CASE-00007,2024-08-26,بلاغ مبلّغ,تحقيق في تواطؤ محتمل بين موردي قطاع الشراكات,تحقيق في مؤشرات تنسيق أسعار بين موردين في منافسة مغلقة. المرجع CASE-2024-4225 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,منتهي بتوصيات
CASE-00008,2025-08-24,تسريب معلومات,بلاغ عن مخالفة في التعامل مع مواد أسلحة خاضعة للرقابة,مخالفة إجراءات مناولة أسلحة ومواد خاضعة للرقابة داخل موقع تشغيلي. المرجع CASE-2025-9226 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,محال للجهة المختصة
CASE-00009,2023-11-30,مخالفة تعاقدية,تحقيق في تلاعب بسجلات الاعتماد في مركز البيانات الاحتياطي,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2023-7412 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,محال للجهة المختصة
CASE-00010,2024-01-21,تسريب معلومات,مذكرة داخلية بشأن ضبط الحضور في المشتريات,مذكرة داخلية تنظيمية حول التزام الحضور والانصراف. المرجع CASE-2024-7106 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,بانتظار الرد
CASE-00011,2022-01-05,إساءة استخدام صلاحيات,ملخص مواجهة أطراف في الملف رقم MF-2022-590,محضر مواجهة يتضمن إفادات أطراف قد ترتب مسؤولية نظامية. المرجع CASE-2022-5233 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,قيد التحقيق
CASE-00012,2020-09-03,بلاغ مبلّغ,تحقيق في تواطؤ محتمل بين موردي قطاع الخدمات الرقمية,تحقيق في مؤشرات تنسيق أسعار بين موردين في منافسة مغلقة. المرجع CASE-2020-1194 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,بانتظار الرد
CASE-00013,2026-04-13,احتيال مالي,تحقيق في تسريب مسودة مذكرة تفاهم مع شريك خارجي,تسريب مسودة مذكرة تفاهم قبل توقيعها رسميًا. المرجع CASE-2026-9465 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,مغلق
CASE-00014,2023-10-15,بلاغ مبلّغ,تحقيق في احتيال مالي بقيمة تقديرية 33 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2023-7144 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,محال للجهة المختصة
CASE-00015,2022-04-05,مخالفة سلوك مهني,بلاغ مبلّغ عن مخالفات في ضبط الجودة,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2022-1158 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,منتهي بتوصيات
CASE-00016,2020-01-22,مخالفة مشتريات,تحقيق في تواطؤ محتمل بين موردي قطاع الخدمات الرقمية,تحقيق في مؤشرات تنسيق أسعار بين موردين في منافسة مغلقة. المرجع CASE-2020-7788 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,مغلق
CASE-00017,2020-05-27,مخالفة سلوك مهني,طلب إجازة طبي ممتدة - الموارد البشرية,ملف طبي داعم لطلب إجازة ممتدة لأحد المنسوبين. المرجع CASE-2020-5945 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,قيد التحقيق
CASE-00018,2025-08-07,احتيال مالي,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2025-2193 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,بانتظار الرد
CASE-00019,2022-10-29,مخالفة مشتريات,قضية تعارض مصالح في ترسية برنامج الحوسبة السيادية,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2022-5573 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,مغلق
CASE-00020,2022-03-25,إساءة استخدام صلاحيات,تحقيق في تسريب مسودة مذكرة تفاهم مع شريك خارجي,تسريب مسودة مذكرة تفاهم قبل توقيعها رسميًا. المرجع CASE-2022-3533 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,محال للجهة المختصة
CASE-00021,2022-03-17,تعارض مصالح,تحقيق في تواطؤ محتمل بين موردي قطاع الحلول الحكومية,تحقيق في مؤشرات تنسيق أسعار بين موردين في منافسة مغلقة. المرجع CASE-2022-8441 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,مغلق
CASE-00022,2023-11-11,مخالفة تعاقدية,بلاغ مبلّغ عن مخالفات في الموارد البشرية,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2023-2411 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,قيد المراجعة القانونية
CASE-00023,2023-07-03,إساءة استخدام صلاحيات,تحقيق في تلاعب بسجلات الاعتماد في نظام الأرشفة الإلكترونية,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2023-9757 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,بانتظار الرد
CASE-00024,2023-08-04,تعارض مصالح,تحقيق في تلاعب بسجلات الاعتماد في شبكة الربط الحكومي,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2023-2089 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,منتهي بتوصيات
CASE-00025,2019-11-30,بلاغ مبلّغ,قضية تعارض مصالح في ترسية برنامج التحول الرقمي,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2019-4892 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,منتهي بتوصيات
CASE-00026,2024-08-18,احتيال مالي,قضية مساس بمتطلبات سيادة البيانات الوطنية,استضافة بيانات وطنية خارج النطاق بما يخالف متطلبات سيادة البيانات. المرجع CASE-2024-3173 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,قيد التحقيق
CASE-00027,2024-09-10,مخالفة تعاقدية,تحقيق في مخالفة تعاقدية مع دولة شريكة,تحقيق في إخلال ببنود تعاقدية قد يرتب مطالبات مالية كبيرة. المرجع CASE-2024-3702 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد التحقيق
